,feature,importance,group_feature,importance_normalized
215,previous_WEEKDAY_APPR_PROCESS_START_FRIDAY_mean,21,previous,0.0015835909810723173
143,installments_payments_AMT_INSTALMENT_DIFF_sum_sum,21,installments,0.0015835909810723173
217,previous_PRODUCT_COMBINATION_POS mobile with interest_mean,21,previous,0.0015835909810723173
231,card_balance_AMT_CREDIT_LIMIT_ACTUAL_max_sum,20,card,0.0015081818867355404
161,installments_payments_AMT_INSTALMENT_DIFF_sum_min,20,installments,0.0015081818867355404
282,previous_NAME_CASH_LOAN_PURPOSE_XNA_mean,20,previous,0.0015081818867355404
266,card_balance_AMT_DRAWINGS_CURRENT_sum_min,20,card,0.0015081818867355404
175,application_FLAG_WORK_PHONE,20,application,0.0015081818867355404
265,card_balance_AMT_DRAWINGS_CURRENT_max_min,20,card,0.0015081818867355404
210,application_FLOORSMIN_AVG,20,application,0.0015081818867355404
182,previous_NAME_SELLER_INDUSTRY_Consumer electronics_mean,20,previous,0.0015081818867355404
164,installments_payments_AMT_INSTALMENT_DIFF_mean_min,20,installments,0.0015081818867355404
196,previous_NAME_SELLER_INDUSTRY_Connectivity_mean,19,previous,0.0014327727923987633
188,previous_CHANNEL_TYPE_AP+ (Cash loan)_mean,19,previous,0.0014327727923987633
246,card_balance_AMT_CREDIT_LIMIT_ACTUAL_min_sum,19,card,0.0014327727923987633
241,bureau_balance_MONTHS_BALANCE_sum,19,bureau,0.0014327727923987633
148,previous_NAME_GOODS_CATEGORY_Furniture_mean,19,previous,0.0014327727923987633
155,previous_CHANNEL_TYPE_Channel of corporate sales_mean,18,previous,0.0013573636980619864
189,application_OCCUPATION_TYPE_Laborers,18,application,0.0013573636980619864
222,previous_CHANNEL_TYPE_Credit and cash offices_mean,18,previous,0.0013573636980619864
190,bureau_AMT_CREDIT_SUM_LIMIT_sum,18,bureau,0.0013573636980619864
254,card_balance_AMT_DRAWINGS_ATM_CURRENT_count_min,18,card,0.0013573636980619864
212,bureau_AMT_CREDIT_MAX_OVERDUE_min,18,bureau,0.0013573636980619864
256,previous_NAME_PRODUCT_TYPE_walk-in_mean,18,previous,0.0013573636980619864
234,card_balance_AMT_PAYMENT_TOTAL_CURRENT_max_min,18,card,0.0013573636980619864
272,previous_NAME_PRODUCT_TYPE_x-sell_mean,18,previous,0.0013573636980619864
209,application_AMT_REQ_CREDIT_BUREAU_QRT,18,application,0.0013573636980619864
237,bureau_AMT_CREDIT_SUM_DEBT_min,17,bureau,0.0012819546037252092
131,card_balance_CNT_INSTALMENT_MATURE_CUM_mean_min,17,card,0.0012819546037252092
304,cash_balance_CNT_INSTALMENT_min_min,17,cash,0.0012819546037252092
301,card_balance_AMT_DRAWINGS_ATM_CURRENT_sum_sum,17,card,0.0012819546037252092
244,installments_payments_DIFF_mean_max,17,installments,0.0012819546037252092
201,previous_NAME_CONTRACT_STATUS_Canceled_mean,17,previous,0.0012819546037252092
183,previous_NAME_YIELD_GROUP_middle_mean,17,previous,0.0012819546037252092
226,card_balance_AMT_DRAWINGS_POS_CURRENT_sum_min,17,card,0.0012819546037252092
251,bureau_balance_STATUS_last_mean,17,bureau,0.0012819546037252092
252,card_balance_AMT_INST_MIN_REGULARITY_max_min,16,card,0.0012065455093884323
258,previous_PRODUCT_COMBINATION_Cash_mean,16,previous,0.0012065455093884323
218,application_ORGANIZATION_TYPE_Construction,16,application,0.0012065455093884323
250,previous_PRODUCT_COMBINATION_POS household with interest_mean,16,previous,0.0012065455093884323
230,previous_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_mean,16,previous,0.0012065455093884323
238,previous_NAME_GOODS_CATEGORY_Mobile_mean,15,previous,0.0011311364150516552
235,bureau_balance_STATUS_median_mean,15,bureau,0.0011311364150516552
305,application_NONLIVINGAPARTMENTS_AVG,15,application,0.0011311364150516552
271,bureau_balance_MONTHS_BALANCE_min,15,bureau,0.0011311364150516552
243,installments_payments_DIFF_mean_sum,15,installments,0.0011311364150516552
285,application_REG_CITY_NOT_LIVE_CITY,14,application,0.0010557273207148783
290,card_balance_CNT_DRAWINGS_CURRENT_max_sum,14,card,0.0010557273207148783
270,installments_payments_AMT_INSTALMENT_DIFF_min_sum,14,installments,0.0010557273207148783
269,previous_NAME_GOODS_CATEGORY_Consumer Electronics_mean,14,previous,0.0010557273207148783
300,installments_payments_DIFF_max_mean,14,installments,0.0010557273207148783
233,previous_PRODUCT_COMBINATION_Cash X-Sell: middle_mean,14,previous,0.0010557273207148783
261,card_balance_NAME_CONTRACT_STATUS_max_sum,14,card,0.0010557273207148783
199,application_ORGANIZATION_TYPE_Transport: type 3,14,application,0.0010557273207148783
268,cash_balance_CNT_INSTALMENT_min_max,13,cash,0.0009803182263781011
247,previous_PRODUCT_COMBINATION_Card Street_mean,13,previous,0.0009803182263781011
306,previous_PRODUCT_COMBINATION_Cash Street: high_mean,12,previous,0.0009049091320413242
248,bureau_balance_STATUS_last_count,12,bureau,0.0009049091320413242
228,card_balance_CNT_DRAWINGS_POS_CURRENT_max_sum,12,card,0.0009049091320413242
293,previous_NAME_CLIENT_TYPE_Refreshed_mean,12,previous,0.0009049091320413242
299,installments_payments_NUM_INSTALMENT_NUMBER_max_min,12,installments,0.0009049091320413242
202,previous_NAME_PORTFOLIO_XNA_mean,12,previous,0.0009049091320413242
260,previous_NAME_GOODS_CATEGORY_Audio/Video_mean,12,previous,0.0009049091320413242
303,cash_balance_CNT_INSTALMENT_count_min,11,cash,0.0008295000377045472
200,previous_WEEKDAY_APPR_PROCESS_START_TUESDAY_mean,11,previous,0.0008295000377045472
280,bureau_CREDIT_TYPE_Car loan_mean,11,bureau,0.0008295000377045472
273,previous_CHANNEL_TYPE_Regional / Local_mean,11,previous,0.0008295000377045472
240,previous_NAME_GOODS_CATEGORY_Computers_mean,11,previous,0.0008295000377045472
267,cash_balance_SK_DPD_mean_min,11,cash,0.0008295000377045472
167,previous_CODE_REJECT_REASON_LIMIT_mean,11,previous,0.0008295000377045472
225,previous_CHANNEL_TYPE_Credit and cash offices_sum,11,previous,0.0008295000377045472
298,card_balance_AMT_INST_MIN_REGULARITY_sum_min,10,card,0.0007540909433677702
239,card_balance_AMT_DRAWINGS_POS_CURRENT_sum_sum,10,card,0.0007540909433677702
297,previous_NAME_SELLER_INDUSTRY_Connectivity_sum,10,previous,0.0007540909433677702
208,previous_CODE_REJECT_REASON_SCOFR_mean,10,previous,0.0007540909433677702
278,card_balance_MONTHS_BALANCE_max_sum,9,card,0.0006786818490309932
283,previous_HOME_CREDIT_LOANS,8,previous,0.0006032727546942162
223,application_ORGANIZATION_TYPE_Realtor,7,application,0.0005278636603574391
286,application_FLAG_DOCUMENT_16,7,application,0.0005278636603574391
287,previous_NAME_PRODUCT_TYPE_walk-in_sum,7,previous,0.0005278636603574391
281,card_balance_SK_DPD_DEF_mean_mean,7,card,0.0005278636603574391
257,cash_balance_SK_DPD_DEF_mean_min,7,cash,0.0005278636603574391
